obf-class	obf-field	obf-signature	cb-field	cb-signature
aav	b	Lafs;	b	Lnet/minecraft/server/NoiseGeneratorOctaves;
aav	m	Lxv;	m	Lnet/minecraft/server/World;
aav	n	[D	n	[D
aav	o	[Lyr;	o	[Lnet/minecraft/server/BiomeBase;
aav	c	[D	c	[D
aav	d	[D	d	[D
aav	e	[D	e	[D
aav	f	[D	f	[D
aav	g	[D	g	[D
aav	h	[[I	h	[[I
aax	a	[B	a	[B
aax	b	Ljava/util/Random;	b	Ljava/util/Random;
aax	c	Lxv;	world	Lnet/minecraft/server/World;
aax	d	[I	d	[I
aax	e	I	e	I
aax	f	I	f	I
aax	g	D	g	D
aax	h	D	h	D
aax	i	D	i	D
aax	j	D	j	D
aax	k	D	k	D
aax	l	I	l	I
aax	m	I	m	I
aax	n	I	n	I
aax	o	[[I	o	[[I
aaz	a	[Lkw;	a	[Lnet/minecraft/server/StructurePieceTreasure;
aaz	b	I	b	I
ab	a	Ljava/util/regex/Pattern;	a	Ljava/util/regex/Pattern;
ab	b	Ljava/util/regex/Pattern;	b	Ljava/util/regex/Pattern;
ab	c	Ljava/util/regex/Pattern;	c	Ljava/util/regex/Pattern;
abc	a	I	a	I
abc	b	I	b	I
abd	a	I	a	I
abf	a	Z	a	Z
abf	b	I	b	I
abg	a	I	a	I
abh	a	I	a	I
abh	b	I	b	I
abk	a	I	a	I
abm	a	I	a	I
abn	a	I	a	I
abp	a	I	a	I
abp	b	I	b	I
abp	c	I	c	I
abr	a	I	a	I
abr	b	I	b	I
abv	a	I	a	I
abv	b	I	b	I
abw	a	I	a	I
abx	a	I	a	I
aca	a	I	a	I
aca	b	I	b	I
acb	a	I	a	I
acb	b	Z	b	Z
acb	c	I	c	I
acb	d	I	d	I
acd	a	Ljava/util/List;	layers	Ljava/util/List;
acd	b	Ljava/util/Map;	structures	Ljava/util/Map;
acd	c	I	c	I
ace	a	I	a	I
ace	b	I	b	I
ace	c	I	c	I
ace	d	I	d	I
acg	a	I	a	I
acg	b	I	b	I
acg	c	I	c	I
acg	d	I	d	I
acg	e	I	e	I
acg	f	I	f	I
ach	e	D	e	D
aci	a	[Lkw;	a	[Lnet/minecraft/server/StructurePieceTreasure;
acj	a	Z	a	Z
acj	b	Z	b	Z
acj	c	Z	c	Z
acj	d	I	d	I
ack	a	I	a	I
ack	b	Z	b	Z
acl	a	Ljava/util/List;	a	Ljava/util/List;
aco	e	Ljava/util/List;	e	Ljava/util/List;
acq	a	[Lade;	a	[Lnet/minecraft/server/WorldGenNetherPieceWeight;
acq	b	[Lade;	b	[Lnet/minecraft/server/WorldGenNetherPieceWeight;
acs	a	I	a	I
adc	a	Z	a	Z
ade	a	Ljava/lang/Class;	a	Ljava/lang/Class;
ade	b	I	b	I
ade	c	I	c	I
ade	d	I	d	I
ade	e	Z	e	Z
adh	a	Lade;	a	Lnet/minecraft/server/WorldGenNetherPieceWeight;
adh	b	Ljava/util/List;	b	Ljava/util/List;
adh	c	Ljava/util/List;	c	Ljava/util/List;
adh	d	Ljava/util/ArrayList;	d	Ljava/util/ArrayList;
adi	e	Ljava/util/List;	e	Ljava/util/List;
adi	f	Ljava/util/List;	f	Ljava/util/List;
adi	g	I	g	I
adi	h	I	h	I
adm	h	[Z	h	[Z
adm	i	[Lkw;	i	[Lnet/minecraft/server/StructurePieceTreasure;
adn	h	Z	h	Z
adn	i	Z	i	Z
adn	j	Z	j	Z
adn	k	Z	k	Z
adn	l	[Lkw;	l	[Lnet/minecraft/server/StructurePieceTreasure;
adn	m	[Lkw;	m	[Lnet/minecraft/server/StructurePieceTreasure;
adn	n	Lado;	n	Lnet/minecraft/server/WorldGenJungleTemplePiece;
adp	a	I	a	I
adp	b	I	b	I
adp	c	I	c	I
adp	d	I	d	I
adq	h	Z	h	Z
adr	e	[Lyr;	e	[Lnet/minecraft/server/BiomeBase;
adr	f	Z	f	Z
adr	g	[Lxo;	g	[Lnet/minecraft/server/ChunkCoordIntPair;
adr	h	D	h	D
adr	i	I	i	I
adt	b	[Laec;	b	[Lnet/minecraft/server/WorldGenStrongholdPieceWeight;
adt	c	Ljava/util/List;	c	Ljava/util/List;
adt	d	Ljava/lang/Class;	d	Ljava/lang/Class;
adt	a	I	a	I
adt	e	Laeh;	e	Lnet/minecraft/server/WorldGenStrongholdStones;
adw	a	[I	a	[I
adx	a	[Lkw;	a	[Lnet/minecraft/server/StructurePieceTreasure;
adx	b	Laen;	b	Lnet/minecraft/server/WorldGenStrongholdDoorType;
adx	c	Z	c	Z
ady	a	I	a	I
adz	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
adz	b	Z	b	Z
adz	c	Z	c	Z
adz	d	Z	d	Z
adz	h	Z	h	Z
aea	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aeb	b	[Lkw;	b	[Lnet/minecraft/server/StructurePieceTreasure;
aeb	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aeb	c	Z	c	Z
aec	a	Ljava/lang/Class;	a	Ljava/lang/Class;
aec	b	I	b	I
aec	c	I	c	I
aec	d	I	d	I
aed	a	Z	a	Z
aee	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aeg	c	[Lkw;	c	[Lnet/minecraft/server/StructurePieceTreasure;
aeg	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aeg	b	I	b	I
aei	a	Z	a	Z
aei	b	Laen;	b	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aej	a	Laec;	a	Lnet/minecraft/server/WorldGenStrongholdPieceWeight;
aej	b	Laed;	b	Lnet/minecraft/server/WorldGenStrongholdPortalRoom;
aej	c	Ljava/util/ArrayList;	c	Ljava/util/ArrayList;
aek	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aek	b	Z	b	Z
aek	c	Z	c	Z
ael	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aen	a	Laen;	a	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aen	b	Laen;	b	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aen	c	Laen;	c	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aen	d	Laen;	d	Lnet/minecraft/server/WorldGenStrongholdDoorType;
aen	e	[Laen;	e	[Lnet/minecraft/server/WorldGenStrongholdDoorType;
aeo	d	Ljava/util/Map;	d	Ljava/util/Map;
aep	a	I	a	I
aep	b	I	b	I
aep	c	Laeo;	c	Lnet/minecraft/server/StructureGenerator;
aeq	a	I	a	I
aeq	b	I	b	I
aeq	c	Laeo;	c	Lnet/minecraft/server/StructureGenerator;
aer	a	Laeo;	a	Lnet/minecraft/server/StructureGenerator;
aes	e	Lacg;	e	Lnet/minecraft/server/StructureBoundingBox;
aes	f	I	f	I
aes	g	I	g	I
aet	a	I	a	I
aet	b	I	b	I
aeu	a	Ljava/util/LinkedList;	a	Ljava/util/LinkedList;
aeu	b	Lacg;	b	Lnet/minecraft/server/StructureBoundingBox;
aev	e	Ljava/util/List;	e	Ljava/util/List;
aev	f	I	f	I
aev	g	I	g	I
aev	h	I	h	I
aew	c	Z	c	Z
aey	a	I	a	I
aez	a	I	a	I
aez	b	I	b	I
aez	c	I	c	I
aez	d	I	d	I
aez	h	I	h	I
af	a	[Ljava/lang/String;	a	[Ljava/lang/String;
afa	a	I	a	I
afa	b	I	b	I
afa	c	I	c	I
afb	a	I	a	I
afc	a	Ljava/lang/Class;	a	Ljava/lang/Class;
afc	b	I	b	I
afc	c	I	c	I
afc	d	I	d	I
afd	a	I	a	I
afe	a	I	a	I
afe	b	Z	b	Z
aff	a	I	a	I
aff	b	Z	b	Z
aff	c	I	c	I
afg	a	I	a	I
afh	a	[Lkw;	a	[Lnet/minecraft/server/StructurePieceTreasure;
afh	b	I	b	I
afh	c	Z	c	Z
afi	a	Lyw;	a	Lnet/minecraft/server/WorldChunkManager;
afi	b	Z	b	Z
afi	c	I	c	I
afi	d	Lafc;	d	Lnet/minecraft/server/WorldGenVillagePieceWeight;
afi	h	Ljava/util/ArrayList;	h	Ljava/util/ArrayList;
afi	i	Ljava/util/ArrayList;	i	Ljava/util/ArrayList;
afi	j	Ljava/util/ArrayList;	j	Ljava/util/ArrayList;
afj	a	I	a	I
afk	a	I	a	I
afl	a	I	a	I
afl	k	Lafi;	k	Lnet/minecraft/server/WorldGenVillageStartPiece;
afn	a	Z	a	Z
afn	b	I	b	I
afr	d	[I	d	[I
afr	a	D	a	D
afr	b	D	b	D
afr	c	D	c	D
afs	a	[Lafr;	a	[Lnet/minecraft/server/NoiseGeneratorPerlin;
afs	b	I	b	I
agb	a	Lagb;	AIR	Lnet/minecraft/server/Material;
agb	b	Lagb;	GRASS	Lnet/minecraft/server/Material;
agb	c	Lagb;	EARTH	Lnet/minecraft/server/Material;
agb	d	Lagb;	WOOD	Lnet/minecraft/server/Material;
agb	e	Lagb;	STONE	Lnet/minecraft/server/Material;
agb	f	Lagb;	ORE	Lnet/minecraft/server/Material;
agb	g	Lagb;	HEAVY	Lnet/minecraft/server/Material;
agb	h	Lagb;	WATER	Lnet/minecraft/server/Material;
agb	i	Lagb;	LAVA	Lnet/minecraft/server/Material;
agb	j	Lagb;	LEAVES	Lnet/minecraft/server/Material;
agb	k	Lagb;	PLANT	Lnet/minecraft/server/Material;
agb	l	Lagb;	REPLACEABLE_PLANT	Lnet/minecraft/server/Material;
agb	m	Lagb;	SPONGE	Lnet/minecraft/server/Material;
agb	n	Lagb;	CLOTH	Lnet/minecraft/server/Material;
agb	o	Lagb;	FIRE	Lnet/minecraft/server/Material;
agb	p	Lagb;	SAND	Lnet/minecraft/server/Material;
agb	q	Lagb;	ORIENTABLE	Lnet/minecraft/server/Material;
agb	r	Lagb;	SHATTERABLE	Lnet/minecraft/server/Material;
agb	s	Lagb;	BUILDABLE_GLASS	Lnet/minecraft/server/Material;
agb	t	Lagb;	TNT	Lnet/minecraft/server/Material;
agb	u	Lagb;	CORAL	Lnet/minecraft/server/Material;
agb	v	Lagb;	ICE	Lnet/minecraft/server/Material;
agb	w	Lagb;	SNOW_LAYER	Lnet/minecraft/server/Material;
agb	x	Lagb;	SNOW_BLOCK	Lnet/minecraft/server/Material;
agb	y	Lagb;	CACTUS	Lnet/minecraft/server/Material;
agb	z	Lagb;	CLAY	Lnet/minecraft/server/Material;
agb	A	Lagb;	PUMPKIN	Lnet/minecraft/server/Material;
agb	B	Lagb;	DRAGON_EGG	Lnet/minecraft/server/Material;
agb	C	Lagb;	PORTAL	Lnet/minecraft/server/Material;
agb	D	Lagb;	CAKE	Lnet/minecraft/server/Material;
agb	E	Lagb;	WEB	Lnet/minecraft/server/Material;
agb	F	Lagb;	PISTON	Lnet/minecraft/server/Material;
agb	H	Z	canBurn	Z
agb	I	Z	I	Z
agb	J	Z	J	Z
agb	G	Lagd;	G	Lnet/minecraft/server/MaterialMapColor;
agb	K	Z	K	Z
agb	L	I	L	I
agb	M	Z	M	Z
agd	a	[Lagd;	a	[Lnet/minecraft/server/MaterialMapColor;
agd	b	Lagd;	b	Lnet/minecraft/server/MaterialMapColor;
agd	c	Lagd;	c	Lnet/minecraft/server/MaterialMapColor;
agd	d	Lagd;	d	Lnet/minecraft/server/MaterialMapColor;
agd	e	Lagd;	e	Lnet/minecraft/server/MaterialMapColor;
agd	f	Lagd;	f	Lnet/minecraft/server/MaterialMapColor;
agd	g	Lagd;	g	Lnet/minecraft/server/MaterialMapColor;
agd	h	Lagd;	h	Lnet/minecraft/server/MaterialMapColor;
agd	i	Lagd;	i	Lnet/minecraft/server/MaterialMapColor;
agd	j	Lagd;	j	Lnet/minecraft/server/MaterialMapColor;
agd	k	Lagd;	k	Lnet/minecraft/server/MaterialMapColor;
agd	l	Lagd;	l	Lnet/minecraft/server/MaterialMapColor;
agd	m	Lagd;	m	Lnet/minecraft/server/MaterialMapColor;
agd	n	Lagd;	n	Lnet/minecraft/server/MaterialMapColor;
agd	o	Lagd;	o	Lnet/minecraft/server/MaterialMapColor;
agd	p	I	p	I
agd	q	I	q	I
agi	b	[Lyr;	b	[Lnet/minecraft/server/BiomeBase;
agn	a	I	a	I
agn	b	Ljava/util/List;	b	Ljava/util/List;
agn	c	Ljava/util/List;	c	Ljava/util/List;
agn	d	Ljava/util/List;	d	Ljava/util/List;
agn	e	Ljava/util/List;	e	Ljava/util/List;
agp	b	J	b	J
agp	a	Lagp;	a	Lnet/minecraft/server/GenLayer;
agp	c	J	c	J
agp	d	J	d	J
agt	b	Lagp;	b	Lnet/minecraft/server/GenLayer;
agt	c	Lagp;	c	Lnet/minecraft/server/GenLayer;
ahc	a	[Lahd;	a	[Lnet/minecraft/server/PathPoint;
ahc	b	I	b	I
ahd	a	I	a	I
ahd	b	I	b	I
ahd	c	I	c	I
ahd	j	I	j	I
ahd	d	I	d	I
ahd	e	F	e	F
ahd	f	F	f	F
ahd	g	F	g	F
ahd	h	Lahd;	h	Lnet/minecraft/server/PathPoint;
ahd	i	Z	i	Z
ahe	a	[Lahd;	a	[Lnet/minecraft/server/PathPoint;
ahe	b	I	b	I
ahe	c	I	c	I
ahf	a	Lyf;	a	Lnet/minecraft/server/IBlockAccess;
ahf	b	Lahc;	b	Lnet/minecraft/server/Path;
ahf	c	Ljz;	c	Lnet/minecraft/server/IntHashMap;
ahf	d	[Lahd;	d	[Lnet/minecraft/server/PathPoint;
ahf	e	Z	e	Z
ahf	f	Z	f	Z
ahf	g	Z	g	Z
ahf	h	Z	h	Z
ahg	a	I	centerX	I
ahg	b	I	centerZ	I
ahg	c	B	map	B
ahg	d	B	scale	B
ahg	e	[B	colors	[B
ahg	f	Ljava/util/List;	f	Ljava/util/List;
ahg	i	Ljava/util/Map;	i	Ljava/util/Map;
ahg	g	Ljava/util/Map;	g	Ljava/util/Map;
ahh	a	Lqx;	trackee	Lnet/minecraft/server/EntityHuman;
ahh	b	[I	b	[I
ahh	c	[I	c	[I
ahh	f	I	f	I
ahh	g	I	g	I
ahh	h	[B	h	[B
ahh	d	I	d	I
ahh	i	Z	i	Z
ahh	e	Lahg;	worldMap	Lnet/minecraft/server/WorldMap;
ahi	a	B	type	B
ahi	b	B	locX	B
ahi	c	B	locY	B
ahi	d	B	rotation	B
ahi	e	Lahg;	e	Lnet/minecraft/server/WorldMap;
ahj	h	Ljava/lang/String;	id	Ljava/lang/String;
ahj	a	Z	a	Z
ahm	a	Lahl;	a	Lnet/minecraft/server/WorldLoaderServer;
ahn	a	Lahq;	a	Lnet/minecraft/server/WorldData;
aho	a	Ljava/util/logging/Logger;	log	Ljava/util/logging/Logger;
aho	b	Ljava/io/File;	baseDir	Ljava/io/File;
aho	c	Ljava/io/File;	playerDir	Ljava/io/File;
aho	d	Ljava/io/File;	dataDir	Ljava/io/File;
aho	e	J	sessionId	J
aho	f	Ljava/lang/String;	f	Ljava/lang/String;
ahp	a	Ljava/io/File;	a	Ljava/io/File;
ahq	a	J	seed	J
ahq	b	Lyg;	type	Lnet/minecraft/server/WorldType;
ahq	c	Ljava/lang/String;	generatorOptions	Ljava/lang/String;
ahq	d	I	spawnX	I
ahq	e	I	spawnY	I
ahq	f	I	spawnZ	I
ahq	g	J	time	J
ahq	h	J	dayTime	J
ahq	i	J	lastPlayed	J
ahq	j	J	sizeOnDisk	J
ahq	k	Lbq;	playerData	Lnet/minecraft/server/NBTTagCompound;
ahq	l	I	dimension	I
ahq	m	Ljava/lang/String;	name	Ljava/lang/String;
ahq	n	I	version	I
ahq	o	Z	isRaining	Z
ahq	p	I	rainTicks	I
ahq	q	Z	isThundering	Z
ahq	r	I	thunderTicks	I
ahq	s	Lye;	gameType	Lnet/minecraft/server/EnumGamemode;
ahq	t	Z	useMapFeatures	Z
ahq	u	Z	hardcore	Z
ahq	v	Z	allowCommands	Z
ahq	w	Z	initialized	Z
ahq	x	Lxs;	gameRules	Lnet/minecraft/server/GameRules;
ahr	a	Lahq;	a	Lnet/minecraft/server/WorldData;
ahs	a	Lahq;	a	Lnet/minecraft/server/WorldData;
aht	a	Lahq;	a	Lnet/minecraft/server/WorldData;
ahu	a	Lahq;	a	Lnet/minecraft/server/WorldData;
ahv	a	Lahq;	a	Lnet/minecraft/server/WorldData;
ahw	a	Lahq;	a	Lnet/minecraft/server/WorldData;
ahx	a	Lahq;	a	Lnet/minecraft/server/WorldData;
ahy	a	Lahq;	a	Lnet/minecraft/server/WorldData;
ahz	a	Lahq;	a	Lnet/minecraft/server/WorldData;
aio	a	Laia;	a	Lnet/minecraft/server/IDataManager;
aio	b	Ljava/util/Map;	b	Ljava/util/Map;
aio	c	Ljava/util/List;	c	Ljava/util/List;
aio	d	Ljava/util/Map;	d	Ljava/util/Map;
aip	a	Laip;	a	Lnet/minecraft/server/FileIOThread;
aip	b	Ljava/util/List;	b	Ljava/util/List;
aip	c	J	c	J
aip	d	J	d	J
aip	e	Z	e	Z
ais	a	[Ljava/lang/String;	a	[Ljava/lang/String;
ais	b	I	b	I
aiu	a	[[I	a	[[I
aiw	a	Ljava/util/Random;	a	Ljava/util/Random;
aiy	a	Z	a	Z
ajd	a	Ljava/util/Random;	a	Ljava/util/Random;
ajm	a	[D	a	[D
ajm	b	[I	b	[I
ajm	c	Z	c	Z
ajp	a	Lbi;	a	Lnet/minecraft/server/IRegistry;
ajp	b	Ljava/util/Random;	b	Ljava/util/Random;
ajy	a	[I	a	[I
ajy	b	[I	b	[I
aka	a	Ljava/util/Random;	a	Ljava/util/Random;
aka	b	Z	b	Z
aka	c	Z	c	Z
ake	a	Z	a	Z
akf	a	Z	a	Z
akg	c	Z	instaFall	Z
akj	a	I	a	I
akm	cD	I	cD	I
akm	a	[Ljava/lang/String;	a	[Ljava/lang/String;
akm	b	[I	b	[I
akr	a	I	a	I
akr	b	[Z	b	[Z
akr	c	[I	c	[I
alb	a	Z	isOn	Z
alb	b	Ljava/util/Map;	b	Ljava/util/Map;
alc	a	I	a	I
alc	b	I	b	I
alc	c	I	c	I
alc	d	J	d	J
alh	a	Lali;	a	Lnet/minecraft/server/EnumMobType;
ali	a	Lali;	EVERYTHING	Lnet/minecraft/server/EnumMobType;
ali	b	Lali;	MOBS	Lnet/minecraft/server/EnumMobType;
ali	c	Lali;	PLAYERS	Lnet/minecraft/server/EnumMobType;
ali	d	[Lali;	d	[Lnet/minecraft/server/EnumMobType;
alj	a	Z	a	Z
alk	a	Z	a	Z
all	b	Lxv;	b	Lnet/minecraft/server/World;
all	c	I	c	I
all	d	I	d	I
all	e	I	e	I
all	f	Z	f	Z
all	g	Ljava/util/List;	g	Ljava/util/List;
all	a	Lalk;	a	Lnet/minecraft/server/BlockMinecartTrack;
aln	a	Lum;	record	Lnet/minecraft/server/ItemStack;
alo	a	Z	a	Z
alo	b	Ljava/util/Set;	b	Ljava/util/Set;
alp	a	Z	a	Z
alq	a	Z	a	Z
als	a	[Ljava/lang/String;	a	[Ljava/lang/String;
alt	a	[Ljava/lang/String;	a	[Ljava/lang/String;
alu	a	Ljava/lang/Class;	a	Ljava/lang/Class;
alu	b	Z	b	Z
alw	a	[Ljava/lang/String;	a	[Ljava/lang/String;
ama	a	[[I	a	[[I
ama	b	[I	b	[I
ama	c	[I	c	[I
ama	cD	Lamj;	cD	Lnet/minecraft/server/Block;
ama	cE	I	cE	I
ama	cF	Z	cF	Z
ama	cG	I	cG	I
amb	a	Lamj;	blockFruit	Lnet/minecraft/server/Block;
amc	a	[Ljava/lang/String;	a	[Ljava/lang/String;
amd	a	[Ljava/lang/String;	a	[Ljava/lang/String;
amg	a	Z	a	Z
ami	a	I	a	I
ami	b	Z	b	Z
amj	a	Lth;	creativeTab	Lnet/minecraft/server/CreativeModeTab;
amj	d	Lamn;	d	Lnet/minecraft/server/StepSound;
amj	e	Lamn;	e	Lnet/minecraft/server/StepSound;
amj	f	Lamn;	f	Lnet/minecraft/server/StepSound;
amj	g	Lamn;	g	Lnet/minecraft/server/StepSound;
amj	h	Lamn;	h	Lnet/minecraft/server/StepSound;
amj	i	Lamn;	i	Lnet/minecraft/server/StepSound;
amj	j	Lamn;	j	Lnet/minecraft/server/StepSound;
amj	k	Lamn;	k	Lnet/minecraft/server/StepSound;
amj	l	Lamn;	l	Lnet/minecraft/server/StepSound;
amj	m	Lamn;	m	Lnet/minecraft/server/StepSound;
amj	n	Lamn;	n	Lnet/minecraft/server/StepSound;
amj	o	Lamn;	o	Lnet/minecraft/server/StepSound;
amj	p	[Lamj;	byId	[Lnet/minecraft/server/Block;
amj	q	[Z	q	[Z
amj	r	[I	lightBlock	[I
amj	s	[Z	s	[Z
amj	t	[I	lightEmission	[I
amj	u	[Z	u	[Z
amj	v	[Z	v	[Z
amj	w	Lamj;	STONE	Lnet/minecraft/server/Block;
amj	x	Lakc;	GRASS	Lnet/minecraft/server/BlockGrass;
amj	y	Lamj;	DIRT	Lnet/minecraft/server/Block;
amj	z	Lamj;	COBBLESTONE	Lnet/minecraft/server/Block;
amj	A	Lamj;	WOOD	Lnet/minecraft/server/Block;
amj	B	Lamj;	SAPLING	Lnet/minecraft/server/Block;
amj	C	Lamj;	BEDROCK	Lnet/minecraft/server/Block;
amj	D	Lamj;	WATER	Lnet/minecraft/server/Block;
amj	E	Lamj;	STATIONARY_WATER	Lnet/minecraft/server/Block;
amj	F	Lamj;	LAVA	Lnet/minecraft/server/Block;
amj	G	Lamj;	STATIONARY_LAVA	Lnet/minecraft/server/Block;
amj	H	Lamj;	SAND	Lnet/minecraft/server/Block;
amj	I	Lamj;	GRAVEL	Lnet/minecraft/server/Block;
amj	J	Lamj;	GOLD_ORE	Lnet/minecraft/server/Block;
amj	K	Lamj;	IRON_ORE	Lnet/minecraft/server/Block;
amj	L	Lamj;	COAL_ORE	Lnet/minecraft/server/Block;
amj	M	Lamj;	LOG	Lnet/minecraft/server/Block;
amj	N	Lakm;	LEAVES	Lnet/minecraft/server/BlockLeaves;
amj	O	Lamj;	SPONGE	Lnet/minecraft/server/Block;
