obf-class	obf-method	obf-signature	cb-method	cb-signature
aau	a	(Lxv;Ljava/lang/String;III)Lyo;	findNearestMapFeature	(Lnet/minecraft/server/World;Ljava/lang/String;III)Lnet/minecraft/server/ChunkPosition;
aau	e	()I	getLoadedChunks	()I
aau	e	(II)V	recreateStructures	(II)V
aav	aav	(Lxv;J)V	net.minecraft.server.ChunkProviderTheEnd	(Lnet/minecraft/server/World;J)V
aav	a	(II[B[Lyr;)V	a	(II[B[Lnet/minecraft/server/BiomeBase;)V
aav	b	(II[B[Lyr;)V	b	(II[B[Lnet/minecraft/server/BiomeBase;)V
aav	c	(II)Lzs;	getChunkAt	(II)Lnet/minecraft/server/Chunk;
aav	d	(II)Lzs;	getOrCreateChunk	(II)Lnet/minecraft/server/Chunk;
aav	a	([DIIIIII)[D	a	([DIIIIII)[D
aav	a	(II)Z	isChunkLoaded	(II)Z
aav	a	(Lzp;II)V	getChunkAt	(Lnet/minecraft/server/IChunkProvider;II)V
aav	a	(ZLkj;)Z	saveChunks	(ZLnet/minecraft/server/IProgressUpdate;)Z
aav	b	()Z	unloadChunks	()Z
aav	c	()Z	canSave	()Z
aav	d	()Ljava/lang/String;	getName	()Ljava/lang/String;
aav	a	(Lme;III)Ljava/util/List;	getMobsFor	(Lnet/minecraft/server/EnumCreatureType;III)Ljava/util/List;
aav	a	(Lxv;Ljava/lang/String;III)Lyo;	findNearestMapFeature	(Lnet/minecraft/server/World;Ljava/lang/String;III)Lnet/minecraft/server/ChunkPosition;
aav	e	()I	getLoadedChunks	()I
aav	e	(II)V	recreateStructures	(II)V
aax	aax	(Z)V	net.minecraft.server.WorldGenBigTree	(Z)V
aax	a	()V	a	()V
aax	a	(IIIFBI)V	a	(IIIFBI)V
aax	a	(I)F	a	(I)F
aax	b	(I)F	b	(I)F
aax	a	(III)V	a	(III)V
aax	a	([I[II)V	a	([I[II)V
aax	b	()V	b	()V
aax	c	(I)Z	c	(I)Z
aax	c	()V	c	()V
aax	d	()V	d	()V
aax	a	([I[I)I	a	([I[I)I
aax	e	()Z	e	()Z
aax	a	(DDD)V	a	(DDD)V
aax	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
aax	{}	()V	{}	()V
aay	aay	(Z)V	net.minecraft.server.WorldGenForest	(Z)V
aay	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
aaz	aaz	([Lkw;I)V	net.minecraft.server.WorldGenBonusChest	([Lnet/minecraft/server/StructurePieceTreasure;I)V
aaz	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
ab	a	(Laa;Ljava/lang/String;)Liq;	getPlayer	(Lnet/minecraft/server/ICommandListener;Ljava/lang/String;)Lnet/minecraft/server/EntityPlayer;
ab	b	(Laa;Ljava/lang/String;)Ljava/lang/String;	getPlayerNames	(Lnet/minecraft/server/ICommandListener;Ljava/lang/String;)Ljava/lang/String;
ab	c	(Laa;Ljava/lang/String;)[Liq;	getPlayers	(Lnet/minecraft/server/ICommandListener;Ljava/lang/String;)[Lnet/minecraft/server/EntityPlayer;
ab	a	(Ljava/lang/String;)Z	isList	(Ljava/lang/String;)Z
ab	a	(Ljava/lang/String;Ljava/lang/String;)Z	isPattern	(Ljava/lang/String;Ljava/lang/String;)Z
ab	b	(Ljava/lang/String;)Z	isPattern	(Ljava/lang/String;)Z
ab	c	(Ljava/lang/String;)I	c	(Ljava/lang/String;)I
ab	d	(Ljava/lang/String;)I	d	(Ljava/lang/String;)I
ab	e	(Ljava/lang/String;)I	e	(Ljava/lang/String;)I
ab	f	(Ljava/lang/String;)I	f	(Ljava/lang/String;)I
ab	g	(Ljava/lang/String;)I	g	(Ljava/lang/String;)I
ab	h	(Ljava/lang/String;)Ljava/util/Map;	h	(Ljava/lang/String;)Ljava/util/Map;
ab	{}	()V	{}	()V
aba	aba	()V	net.minecraft.server.WorldGenCactus	()V
aba	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abc	abc	(I)V	net.minecraft.server.WorldGenClay	(I)V
abc	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abd	abd	(I)V	net.minecraft.server.WorldGenDeadBush	(I)V
abd	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abe	abe	()V	net.minecraft.server.WorldGenDesertWell	()V
abe	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abf	abf	()V	net.minecraft.server.WorldGenerator	()V
abf	abf	(Z)V	net.minecraft.server.WorldGenerator	(Z)V
abf	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abf	a	(DDD)V	a	(DDD)V
abf	a	(Lxv;IIII)V	setType	(Lnet/minecraft/server/World;IIII)V
abf	a	(Lxv;IIIII)V	setTypeAndData	(Lnet/minecraft/server/World;IIIII)V
abg	abg	(I)V	net.minecraft.server.WorldGenFlowers	(I)V
abg	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abh	abh	(II)V	net.minecraft.server.WorldGenGroundBush	(II)V
abh	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abi	abi	()V	net.minecraft.server.WorldGenFire	()V
abi	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abj	abj	()V	net.minecraft.server.WorldGenLightStone2	()V
abj	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abk	abk	(I)V	net.minecraft.server.WorldGenHellLava	(I)V
abk	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abm	abm	(I)V	net.minecraft.server.WorldGenHugeMushroom	(I)V
abm	abm	()V	net.minecraft.server.WorldGenHugeMushroom	()V
abm	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abn	abn	(I)V	net.minecraft.server.WorldGenLakes	(I)V
abn	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abo	abo	()V	net.minecraft.server.WorldGenLightStone1	()V
abo	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abp	abp	(ZIII)V	net.minecraft.server.WorldGenMegaTree	(ZIII)V
abp	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abp	a	(Lxv;IIIILjava/util/Random;)V	a	(Lnet/minecraft/server/World;IIIILjava/util/Random;)V
abq	abq	()V	net.minecraft.server.WorldGenDungeons	()V
abq	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abq	a	(Ljava/util/Random;)Lum;	a	(Ljava/util/Random;)Lnet/minecraft/server/ItemStack;
abq	b	(Ljava/util/Random;)Ljava/lang/String;	b	(Ljava/util/Random;)Ljava/lang/String;
abr	abr	(II)V	net.minecraft.server.WorldGenMinable	(II)V
abr	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abs	abs	()V	net.minecraft.server.WorldGenTaiga1	()V
abs	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abt	abt	()V	net.minecraft.server.WorldGenPumpkin	()V
abt	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abu	abu	()V	net.minecraft.server.WorldGenReed	()V
abu	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abv	abv	(II)V	net.minecraft.server.WorldGenSand	(II)V
abv	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abw	abw	(I)V	net.minecraft.server.WorldGenEnder	(I)V
abw	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abx	abx	(I)V	net.minecraft.server.WorldGenLiquids	(I)V
abx	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
aby	aby	(Z)V	net.minecraft.server.WorldGenTaiga2	(Z)V
aby	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abz	abz	()V	net.minecraft.server.WorldGenSwampTree	()V
abz	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
abz	b	(Lxv;IIII)V	b	(Lnet/minecraft/server/World;IIII)V
ac	ac	()V	net.minecraft.server.CommandGamemodeDefault	()V
ac	c	()Ljava/lang/String;	c	()Ljava/lang/String;
ac	a	(Laa;)Ljava/lang/String;	a	(Lnet/minecraft/server/ICommandListener;)Ljava/lang/String;
ac	b	(Laa;[Ljava/lang/String;)V	b	(Lnet/minecraft/server/ICommandListener;[Ljava/lang/String;)V
ac	a	(Lye;)V	a	(Lnet/minecraft/server/EnumGamemode;)V
aca	aca	(II)V	net.minecraft.server.WorldGenGrass	(II)V
aca	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
acb	acb	(Z)V	net.minecraft.server.WorldGenTrees	(Z)V
acb	acb	(ZIIIZ)V	net.minecraft.server.WorldGenTrees	(ZIIIZ)V
acb	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
acb	b	(Lxv;IIII)V	b	(Lnet/minecraft/server/World;IIII)V
acc	acc	()V	net.minecraft.server.WorldGenVines	()V
acc	a	(Lxv;Ljava/util/Random;III)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;III)Z
acd	acd	()V	net.minecraft.server.WorldGenFlatInfo	()V
acd	a	()I	a	()I
acd	a	(I)V	a	(I)V
acd	b	()Ljava/util/Map;	b	()Ljava/util/Map;
acd	c	()Ljava/util/List;	c	()Ljava/util/List;
acd	d	()V	d	()V
acd	toString	()Ljava/lang/String;	toString	()Ljava/lang/String;
acd	a	(Ljava/lang/String;I)Lace;	a	(Ljava/lang/String;I)Lnet/minecraft/server/WorldGenFlatLayerInfo;
acd	b	(Ljava/lang/String;)Ljava/util/List;	b	(Ljava/lang/String;)Ljava/util/List;
acd	a	(Ljava/lang/String;)Lacd;	a	(Ljava/lang/String;)Lnet/minecraft/server/WorldGenFlatInfo;
acd	e	()Lacd;	e	()Lnet/minecraft/server/WorldGenFlatInfo;
ace	ace	(II)V	net.minecraft.server.WorldGenFlatLayerInfo	(II)V
ace	ace	(III)V	net.minecraft.server.WorldGenFlatLayerInfo	(III)V
ace	a	()I	a	()I
ace	b	()I	b	()I
ace	c	()I	c	()I
ace	d	()I	d	()I
ace	d	(I)V	d	(I)V
ace	toString	()Ljava/lang/String;	toString	()Ljava/lang/String;
acg	acg	()V	net.minecraft.server.StructureBoundingBox	()V
acg	a	()Lacg;	a	()Lnet/minecraft/server/StructureBoundingBox;
acg	a	(IIIIIIIIII)Lacg;	a	(IIIIIIIIII)Lnet/minecraft/server/StructureBoundingBox;
acg	acg	(Lacg;)V	net.minecraft.server.StructureBoundingBox	(Lnet/minecraft/server/StructureBoundingBox;)V
acg	acg	(IIIIII)V	net.minecraft.server.StructureBoundingBox	(IIIIII)V
acg	acg	(IIII)V	net.minecraft.server.StructureBoundingBox	(IIII)V
acg	a	(Lacg;)Z	a	(Lnet/minecraft/server/StructureBoundingBox;)Z
acg	a	(IIII)Z	a	(IIII)Z
acg	b	(Lacg;)V	b	(Lnet/minecraft/server/StructureBoundingBox;)V
acg	a	(III)V	a	(III)V
acg	b	(III)Z	b	(III)Z
acg	b	()I	b	()I
acg	c	()I	c	()I
acg	d	()I	d	()I
acg	e	()I	e	()I
acg	f	()I	f	()I
acg	g	()I	g	()I
acg	toString	()Ljava/lang/String;	toString	()Ljava/lang/String;
ach	ach	()V	net.minecraft.server.WorldGenMineshaft	()V
ach	ach	(Ljava/util/Map;)V	net.minecraft.server.WorldGenMineshaft	(Ljava/util/Map;)V
ach	a	(II)Z	a	(II)Z
ach	b	(II)Laeu;	b	(II)Lnet/minecraft/server/StructureStart;
aci	a	(Ljava/util/List;Ljava/util/Random;IIIII)Laes;	a	(Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/server/StructurePiece;
aci	b	(Laes;Ljava/util/List;Ljava/util/Random;IIIII)Laes;	b	(Lnet/minecraft/server/StructurePiece;Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/server/StructurePiece;
aci	a	(Laes;Ljava/util/List;Ljava/util/Random;IIIII)Laes;	a	(Lnet/minecraft/server/StructurePiece;Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/server/StructurePiece;
aci	a	()[Lkw;	a	()[Lnet/minecraft/server/StructurePieceTreasure;
aci	{}	()V	{}	()V
acj	acj	(ILjava/util/Random;Lacg;I)V	net.minecraft.server.WorldGenMineshaftCorridor	(ILjava/util/Random;Lnet/minecraft/server/StructureBoundingBox;I)V
acj	a	(Ljava/util/List;Ljava/util/Random;IIII)Lacg;	a	(Ljava/util/List;Ljava/util/Random;IIII)Lnet/minecraft/server/StructureBoundingBox;
acj	a	(Laes;Ljava/util/List;Ljava/util/Random;)V	a	(Lnet/minecraft/server/StructurePiece;Ljava/util/List;Ljava/util/Random;)V
acj	a	(Lxv;Ljava/util/Random;Lacg;)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;Lnet/minecraft/server/StructureBoundingBox;)Z
ack	ack	(ILjava/util/Random;Lacg;I)V	net.minecraft.server.WorldGenMineshaftCross	(ILjava/util/Random;Lnet/minecraft/server/StructureBoundingBox;I)V
ack	a	(Ljava/util/List;Ljava/util/Random;IIII)Lacg;	a	(Ljava/util/List;Ljava/util/Random;IIII)Lnet/minecraft/server/StructureBoundingBox;
ack	a	(Laes;Ljava/util/List;Ljava/util/Random;)V	a	(Lnet/minecraft/server/StructurePiece;Ljava/util/List;Ljava/util/Random;)V
ack	a	(Lxv;Ljava/util/Random;Lacg;)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;Lnet/minecraft/server/StructureBoundingBox;)Z
acl	acl	(ILjava/util/Random;II)V	net.minecraft.server.WorldGenMineshaftRoom	(ILjava/util/Random;II)V
acl	a	(Laes;Ljava/util/List;Ljava/util/Random;)V	a	(Lnet/minecraft/server/StructurePiece;Ljava/util/List;Ljava/util/Random;)V
acl	a	(Lxv;Ljava/util/Random;Lacg;)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;Lnet/minecraft/server/StructureBoundingBox;)Z
acm	acm	(ILjava/util/Random;Lacg;I)V	net.minecraft.server.WorldGenMineshaftStairs	(ILjava/util/Random;Lnet/minecraft/server/StructureBoundingBox;I)V
acm	a	(Ljava/util/List;Ljava/util/Random;IIII)Lacg;	a	(Ljava/util/List;Ljava/util/Random;IIII)Lnet/minecraft/server/StructureBoundingBox;
acm	a	(Laes;Ljava/util/List;Ljava/util/Random;)V	a	(Lnet/minecraft/server/StructurePiece;Ljava/util/List;Ljava/util/Random;)V
acm	a	(Lxv;Ljava/util/Random;Lacg;)Z	a	(Lnet/minecraft/server/World;Ljava/util/Random;Lnet/minecraft/server/StructureBoundingBox;)Z
acn	acn	(Lxv;Ljava/util/Random;II)V	net.minecraft.server.WorldGenMineshaftStart	(Lnet/minecraft/server/World;Ljava/util/Random;II)V
aco	aco	()V	net.minecraft.server.WorldGenNether	()V
aco	a	()Ljava/util/List;	a	()Ljava/util/List;
aco	a	(II)Z	a	(II)Z
aco	b	(II)Laeu;	b	(II)Lnet/minecraft/server/StructureStart;
acp	acp	(Lxv;Ljava/util/Random;II)V	net.minecraft.server.WorldGenNetherStart	(Lnet/minecraft/server/World;Ljava/util/Random;II)V
acq	b	(Lade;Ljava/util/List;Ljava/util/Random;IIIII)Ladd;	b	(Lnet/minecraft/server/WorldGenNetherPieceWeight;Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/server/WorldGenNetherPiece;
acq	a	(Lade;Ljava/util/List;Ljava/util/Random;IIIII)Ladd;	a	(Lnet/minecraft/server/WorldGenNetherPieceWeight;Ljava/util/List;Ljava/util/Random;IIIII)Lnet/minecraft/server/WorldGenNetherPiece;
acq	a	()[Lade;	a	()[Lnet/minecraft/server/WorldGenNetherPieceWeight;
acq	b	()[Lade;	b	()[Lnet/minecraft/server/WorldGenNetherPieceWeight;
acq	{}	()V	{}	()V
acr	acr	(ILjava/util/Random;Lacg;I)V	net.minecraft.server.WorldGenNetherPiece1	(ILjava/util/Random;Lnet/minecraft/server/StructureBoundingBox;I)V
